Stkcd,Reptdt,Lev,Cash
300261,2013/12/31,0.283071,0.078592
300188,2013/12/31,0.186065,0.28784
300250,2013/12/31,0.09768,0.256693
300375,2013/12/31,0.285245,
300319,2013/12/31,0.178394,0.597317
300070,2013/12/31,0.370083,0.319279
300348,2013/12/31,0.047661,-0.491225
300152,2013/12/31,0.237198,-0.472471
300091,2013/12/31,0.497843,-0.054691
300134,2013/12/31,0.250596,0.252427
300256,2013/12/31,0.381393,0.13479
300222,2013/12/31,0.194031,-0.010136
300043,2013/12/31,0.390721,0.088533
300163,2013/12/31,0.054781,1.897958
300007,2013/12/31,0.267883,0.454147
300141,2013/12/31,0.195629,-0.002811
300248,2013/12/31,0.122863,0.432441
300322,2013/12/31,0.318179,0.091834
300331,2013/12/31,0.187018,0.177146
300147,2013/12/31,0.50787,0.206705
300324,2013/12/31,0.161314,0.03487
300018,2013/12/31,0.087203,0.589174
300179,2013/12/31,0.163288,0.522439
300193,2013/12/31,0.102936,0.432317
300158,2013/12/31,0.299845,-0.09855
300234,2013/12/31,0.314234,-0.192101
300223,2013/12/31,0.011054,1.804073
300153,2013/12/31,0.14286,0.501435
300343,2013/12/31,0.275217,0.538402
300215,2013/12/31,0.499781,0.224445
300162,2013/12/31,0.156766,-0.254042
300272,2013/12/31,0.083728,0.539328
300327,2013/12/31,0.093252,0.400826
300034,2013/12/31,0.214963,0.280208
300255,2013/12/31,0.21867,-0.046722
300281,2013/12/31,0.311849,-0.218492
300291,2013/12/31,0.086017,-0.610848
300056,2013/12/31,0.400998,0.184632
300209,2013/12/31,0.061516,0.02988
300107,2013/12/31,0.029448,2.849752
300021,2013/12/31,0.663526,0.035523
300329,2013/12/31,0.215544,0.206623
300202,2013/12/31,0.161338,0.482724
300051,2013/12/31,0.201601,0.411472
300087,2013/12/31,0.278869,0.034463
300196,2013/12/31,0.292448,0.340964
300118,2013/12/31,0.499978,-0.042043
300368,2013/12/31,0.23724,
300016,2013/12/31,0.098561,0.68494
300066,2013/12/31,0.107303,0.723773
300036,2013/12/31,0.21303,0.336804
300048,2013/12/31,0.185252,-0.088472
300203,2013/12/31,0.203861,0.1584
300373,2013/12/31,0.271604,
300230,2013/12/31,0.174314,0.421058
300244,2013/12/31,0.273174,0.37672
300257,2013/12/31,0.165461,0.818491
300282,2013/12/31,0.119854,-0.424568
300186,2013/12/31,0.098756,0.961896
300381,2013/12/31,0.187124,
300090,2013/12/31,0.56472,0.008656
300370,2013/12/31,0.576633,
300356,2013/12/31,0.260113,0.109963
300314,2013/12/31,0.068756,1.091846
300026,2013/12/31,0.232718,0.308281
300012,2013/12/31,0.143946,1.769341
300340,2013/12/31,0.126304,0.181536
300129,2013/12/31,0.311395,0.102777
300359,2013/12/31,0.100079,
300024,2013/12/31,0.313483,-0.043453
300132,2013/12/31,0.477162,0.095056
300150,2013/12/31,0.116025,0.265706
300246,2013/12/31,0.16501,0.409575
300245,2013/12/31,0.133763,0.433669
300176,2013/12/31,0.626684,0.264847
300211,2013/12/31,0.162849,0.376549
300058,2013/12/31,0.42586,0.075265
300206,2013/12/31,0.072765,0.330751
300076,2013/12/31,0.101131,-0.010572
300325,2013/12/31,0.491186,0.109488
300214,2013/12/31,0.141417,-0.140905
300151,2013/12/31,0.226682,0.573768
300136,2013/12/31,0.213517,-0.191485
300313,2013/12/31,0.247551,-0.323136
300345,2013/12/31,0.22387,-0.009193
300086,2013/12/31,0.049547,0.833517
300352,2013/12/31,0.082088,-0.203882
300073,2013/12/31,0.148423,-0.534066
300285,2013/12/31,0.105962,0.718522
300083,2013/12/31,0.477321,0.400874
300195,2013/12/31,0.105904,0.294029
300135,2013/12/31,0.503279,-0.72039
300031,2013/12/31,0.204034,0.851147
300130,2013/12/31,0.173155,0.155271
300235,2013/12/31,0.046732,1.295961
300335,2013/12/31,0.076781,0.98712
300197,2013/12/31,0.499846,-0.224936
300372,2013/12/31,0.459411,
300005,2013/12/31,0.294846,0.606318
300265,2013/12/31,0.332871,0.223088
300311,2013/12/31,0.237595,0.276674
300207,2013/12/31,0.540005,-0.136368
300290,2013/12/31,0.301351,-0.685283
300280,2013/12/31,0.151444,0.207286
300240,2013/12/31,0.221861,0.374386
300160,2013/12/31,0.275864,0.090861
300242,2013/12/31,0.192794,-0.313967
300164,2013/12/31,0.227944,-0.246319
300205,2013/12/31,0.376803,0.00645
300262,2013/12/31,0.531411,-0.622389
300142,2013/12/31,0.521098,-0.054368
300149,2013/12/31,0.047867,1.53344
300271,2013/12/31,0.2268,-0.045575
300191,2013/12/31,0.036843,1.391976
300353,2013/12/31,0.097926,1.289995
300045,2013/12/31,0.131736,-0.164526
300004,2013/12/31,0.246462,0.209432
300077,2013/12/31,0.046497,0.123801
300182,2013/12/31,0.250662,0.118325
300123,2013/12/31,0.316491,-0.144549
300288,2013/12/31,0.027944,5.76493
300333,2013/12/31,0.030493,2.136134
300081,2013/12/31,0.16129,0.199255
300365,2013/12/31,0.184107,
300226,2013/12/31,0.47072,0.010881
300357,2013/12/31,0.045597,
300093,2013/12/31,0.405969,0.065904
300239,2013/12/31,0.323611,0.055153
300053,2013/12/31,0.062841,0.417525
300323,2013/12/31,0.31977,0.152783
300079,2013/12/31,0.048274,0.51408
300131,2013/12/31,0.504867,-0.334713
300065,2013/12/31,0.195686,-0.118787
300168,2013/12/31,0.287203,0.027753
300040,2013/12/31,0.137387,-0.076514
300350,2013/12/31,0.388924,-0.279431
300096,2013/12/31,0.178664,0.231991
300300,2013/12/31,0.33397,0.074557
300337,2013/12/31,0.254827,0.180283
300380,2013/12/31,0.151613,
300069,2013/12/31,0.303213,0.425034
300201,2013/12/31,0.342955,-0.164997
300075,2013/12/31,0.158164,0.078043
300305,2013/12/31,0.050482,1.326168
300307,2013/12/31,0.135233,0.546714
300317,2013/12/31,0.444295,0.064276
300100,2013/12/31,0.455769,0.165492
300382,2013/12/31,0.436016,
300102,2013/12/31,0.100177,0.872812
300082,2013/12/31,0.224919,0.149086
300173,2013/12/31,0.317569,0.000165
300366,2013/12/31,0.342508,
300098,2013/12/31,0.248925,-0.565588
300376,2013/12/31,0.547526,
300318,2013/12/31,0.066243,1.196173
300198,2013/12/31,0.170993,-0.084312
300232,2013/12/31,0.404454,0.133179
300236,2013/12/31,0.164421,0.316295
300133,2013/12/31,0.135541,-0.226712
300316,2013/12/31,0.06646,0.719585
300180,2013/12/31,0.048173,0.75862
300106,2013/12/31,0.463592,-0.065259
300330,2013/12/31,0.310339,-0.231731
300328,2013/12/31,0.21045,0.522291
300273,2013/12/31,0.32372,-0.5384
300302,2013/12/31,0.115053,-0.545601
300080,2013/12/31,0.361788,-0.036987
300258,2013/12/31,0.194828,0.435598
300185,2013/12/31,0.449169,-0.031117
300283,2013/12/31,0.218475,0.16202
300063,2013/12/31,0.261048,-0.354616
300362,2013/12/31,0.746045,
300155,2013/12/31,0.139793,0.271805
300252,2013/12/31,0.525259,-0.160456
300346,2013/12/31,0.053173,0.273337
300326,2013/12/31,0.166959,0.519316
300220,2013/12/31,0.283091,-0.122735
300243,2013/12/31,0.468748,0.039398
300170,2013/12/31,0.085431,0.576569
300013,2013/12/31,0.332112,0.169648
300055,2013/12/31,0.224432,0.173868
300299,2013/12/31,0.120241,-0.551421
300287,2013/12/31,0.415265,-0.36085
300038,2013/12/31,0.349019,-0.291068
300089,2013/12/31,0.268842,0.030887
300192,2013/12/31,0.171739,0.144989
300109,2013/12/31,0.107851,0.507083
300111,2013/12/31,0.596138,0.038538
300297,2013/12/31,0.370925,0.14478
300219,2013/12/31,0.227913,0.502918
300344,2013/12/31,0.252753,-0.029278
300270,2013/12/31,0.059685,-0.058546
300171,2013/12/31,0.362728,0.28783
300137,2013/12/31,0.124261,0.588355
300183,2013/12/31,0.045906,2.639106
300351,2013/12/31,0.101006,0.414704
300266,2013/12/31,0.241624,0.128573
300308,2013/12/31,0.284681,0.308193
300187,2013/12/31,0.379845,0.046412
300161,2013/12/31,0.309785,0.216739
300057,2013/12/31,0.527805,0.053817
300175,2013/12/31,0.345953,-0.126236
300020,2013/12/31,0.604336,-0.006583
300028,2013/12/31,0.539916,-0.064897
300061,2013/12/31,0.358447,0.099545
300276,2013/12/31,0.265145,-0.263315
300166,2013/12/31,0.105197,-0.509579
300128,2013/12/31,0.274802,0.048449
300178,2013/12/31,0.179795,-0.258194
300217,2013/12/31,0.28049,-0.096423
300332,2013/12/31,0.226957,0.076495
300189,2013/12/31,0.129791,0.07332
300377,2013/12/31,0.148162,
300312,2013/12/31,0.3895,-0.24914
300094,2013/12/31,0.367781,-0.199464
300208,2013/12/31,0.416348,0.243624
300157,2013/12/31,0.204324,0.234421
300260,2013/12/31,0.279686,-0.185147
300268,2013/12/31,0.364862,0.421713
300315,2013/12/31,0.209138,0.645847
300122,2013/12/31,0.076745,1.346401
300279,2013/12/31,0.379654,0.078572
300025,2013/12/31,0.45644,0.019256
