Stkcd,Reptdt,Asset
300313,2013/12/31,534374399.6
300345,2013/12/31,827835178.4
300086,2013/12/31,1904509262
300352,2013/12/31,705565104.3
300073,2013/12/31,992895587.4
300285,2013/12/31,729769488.9
300083,2013/12/31,2715877069
300195,2013/12/31,1557497658
300135,2013/12/31,2285750663
300031,2013/12/31,998696371.1
300235,2013/12/31,334638275.8
300130,2013/12/31,1252877050
300335,2013/12/31,853178624.7
300197,2013/12/31,3604849849
300005,2013/12/31,1489451863
300265,2013/12/31,1143932243
300290,2013/12/31,565615807
300311,2013/12/31,546858985.5
300207,2013/12/31,2806024450
300280,2013/12/31,737579401.9
300160,2013/12/31,1468425392
300240,2013/12/31,1491691694
300242,2013/12/31,313331080.5
300164,2013/12/31,1530395217
300262,2013/12/31,1134672158
300205,2013/12/31,1747354113
300142,2013/12/31,6135837457
300149,2013/12/31,703988367
300191,2013/12/31,1247407731
300271,2013/12/31,1277845983
300045,2013/12/31,907321577.5
300004,2013/12/31,1189206060
300077,2013/12/31,2839565746
300288,2013/12/31,570116890.1
300123,2013/12/31,1349680437
300182,2013/12/31,1918338081
300081,2013/12/31,945525609
300333,2013/12/31,831103459.4
300365,2013/12/31,290982462.4
300226,2013/12/31,821002780.6
300357,2013/12/31,263954870.8
300093,2013/12/31,1442973442
300239,2013/12/31,519629064
300053,2013/12/31,681077053.1
300323,2013/12/31,2465702596
300079,2013/12/31,2833760636
300131,2013/12/31,1091474686
300065,2013/12/31,834935685.5
300040,2013/12/31,1452889063
300168,2013/12/31,2078281843
300350,2013/12/31,683562618.9
300337,2013/12/31,2269335654
300096,2013/12/31,808942792.1
300380,2013/12/31,262156899.5
300069,2013/12/31,694309780.1
300201,2013/12/31,1006963636
300075,2013/12/31,1259512566
300305,2013/12/31,1259674150
300307,2013/12/31,4832148538
300317,2013/12/31,1125655576
300100,2013/12/31,1843288317
300382,2013/12/31,562064190.2
300082,2013/12/31,3934617183
300102,2013/12/31,1986630530
300366,2013/12/31,310802513.6
300376,2013/12/31,1691548715
300318,2013/12/31,752395749.7
300173,2013/12/31,788852866.8
300198,2013/12/31,1321507104
300098,2013/12/31,1221816298
300232,2013/12/31,1017714384
300236,2013/12/31,951994824.3
300133,2013/12/31,2105331361
300180,2013/12/31,1389213849
300330,2013/12/31,640261205.2
300316,2013/12/31,1817881894
300106,2013/12/31,1280128573
300328,2013/12/31,734769123.7
300273,2013/12/31,1567500051
300080,2013/12/31,5054491773
300302,2013/12/31,544878595.8
300258,2013/12/31,1339945327
300185,2013/12/31,6787478373
300283,2013/12/31,686927758.4
300063,2013/12/31,956672727.3
300362,2013/12/31,1337477472
300346,2013/12/31,1205758623
300252,2013/12/31,1501848084
300326,2013/12/31,610978022.6
300220,2013/12/31,409620116.3
300243,2013/12/31,740292039.7
300170,2013/12/31,1477196421
300013,2013/12/31,538234256.2
300055,2013/12/31,2391555925
300299,2013/12/31,462070507.1
300287,2013/12/31,950159525.9
300038,2013/12/31,1596459847
300192,2013/12/31,751316109.5
300089,2013/12/31,1068808369
300109,2013/12/31,422642822.6
300111,2013/12/31,2873862610
