Stkcd,Reptdt,Num_of_meet
300207,2013/12/31,5
300235,2013/12/31,6
300265,2013/12/31,10
300280,2013/12/31,8
300285,2013/12/31,10
300290,2013/12/31,10
300311,2013/12/31,7
300335,2013/12/31,8
300352,2013/12/31,8
300372,2013/12/31,10
300142,2013/12/31,13
300160,2013/12/31,5
300164,2013/12/31,14
300205,2013/12/31,9
300240,2013/12/31,6
300242,2013/12/31,8
300262,2013/12/31,8
300149,2013/12/31,13
300191,2013/12/31,8
300271,2013/12/31,12
300353,2013/12/31,12
300004,2013/12/31,8
300045,2013/12/31,9
300053,2013/12/31,9
300065,2013/12/31,9
300077,2013/12/31,9
300079,2013/12/31,8
300081,2013/12/31,5
300093,2013/12/31,9
300123,2013/12/31,10
300131,2013/12/31,11
300182,2013/12/31,17
300226,2013/12/31,10
300239,2013/12/31,5
300288,2013/12/31,7
300323,2013/12/31,6
300333,2013/12/31,6
300357,2013/12/31,5
300365,2013/12/31,11
300040,2013/12/31,5
300096,2013/12/31,7
300168,2013/12/31,11
300300,2013/12/31,11
300337,2013/12/31,8
300350,2013/12/31,8
300380,2013/12/31,4
300069,2013/12/31,7
300075,2013/12/31,11
300082,2013/12/31,9
300098,2013/12/31,13
300100,2013/12/31,10
300102,2013/12/31,6
300173,2013/12/31,8
300198,2013/12/31,11
300201,2013/12/31,8
300232,2013/12/31,14
300236,2013/12/31,9
300305,2013/12/31,7
300307,2013/12/31,11
300317,2013/12/31,15
300318,2013/12/31,6
300366,2013/12/31,8
300376,2013/12/31,6
300382,2013/12/31,6
300063,2013/12/31,12
300080,2013/12/31,15
300106,2013/12/31,7
300133,2013/12/31,14
300180,2013/12/31,4
300185,2013/12/31,14
300258,2013/12/31,7
300273,2013/12/31,19
300283,2013/12/31,5
300302,2013/12/31,7
300316,2013/12/31,6
300328,2013/12/31,15
300330,2013/12/31,13
300362,2013/12/31,12
300013,2013/12/31,11
300038,2013/12/31,11
300055,2013/12/31,7
300089,2013/12/31,5
300155,2013/12/31,14
300170,2013/12/31,10
300192,2013/12/31,6
300220,2013/12/31,8
300243,2013/12/31,8
300252,2013/12/31,9
300287,2013/12/31,6
300299,2013/12/31,12
300326,2013/12/31,12
300346,2013/12/31,8
300020,2013/12/31,11
300025,2013/12/31,13
300028,2013/12/31,11
300049,2013/12/31,4
300057,2013/12/31,9
300061,2013/12/31,9
300094,2013/12/31,12
300109,2013/12/31,5
300111,2013/12/31,8
300122,2013/12/31,11
300128,2013/12/31,14
300137,2013/12/31,8
300139,2013/12/31,5
