Stkcd,Reptdt,Roa
300368,2013/12/31,0.150485
300016,2013/12/31,0.109575
300066,2013/12/31,0.094693
300036,2013/12/31,0.070041
300048,2013/12/31,0.025287
300203,2013/12/31,0.067993
300373,2013/12/31,0.216085
300230,2013/12/31,0.086088
300244,2013/12/31,0.11865
300257,2013/12/31,0.098326
300282,2013/12/31,-0.027658
300186,2013/12/31,0.097541
300381,2013/12/31,0.187469
300090,2013/12/31,0.048597
300370,2013/12/31,0.101305
300356,2013/12/31,0.055114
300314,2013/12/31,0.096805
300026,2013/12/31,0.169566
300012,2013/12/31,0.144517
300340,2013/12/31,0.003659
300129,2013/12/31,0.032089
300359,2013/12/31,0.190577
300024,2013/12/31,0.117145
300132,2013/12/31,0.027879
300150,2013/12/31,0.042569
300246,2013/12/31,0.067507
300245,2013/12/31,0.093834
300176,2013/12/31,0.02072
300211,2013/12/31,0.040474
300058,2013/12/31,0.104136
300206,2013/12/31,0.0262
300076,2013/12/31,0.006866
300325,2013/12/31,0.04789
300214,2013/12/31,0.042573
300151,2013/12/31,0.03998
300136,2013/12/31,-0.080871
300313,2013/12/31,0.021168
300345,2013/12/31,0.027951
300086,2013/12/31,0.00745
300352,2013/12/31,0.101114
300073,2013/12/31,0.009883
300285,2013/12/31,0.117228
300083,2013/12/31,0.053306
300195,2013/12/31,0.097428
300135,2013/12/31,0.049944
300031,2013/12/31,0.107915
300130,2013/12/31,0.044307
300235,2013/12/31,0.072606
300335,2013/12/31,0.081224
300197,2013/12/31,0.077319
300372,2013/12/31,0.086976
300005,2013/12/31,0.187459
300265,2013/12/31,0.037066
300311,2013/12/31,0.041184
300290,2013/12/31,0.100089
300280,2013/12/31,0.002279
300207,2013/12/31,0.033733
300240,2013/12/31,0.045473
300160,2013/12/31,0.023957
300242,2013/12/31,-0.092693
300164,2013/12/31,0.021773
300205,2013/12/31,0.055599
300262,2013/12/31,0.068889
300142,2013/12/31,0.000922
300149,2013/12/31,0.055462
300271,2013/12/31,0.102581
300191,2013/12/31,0.076811
300353,2013/12/31,0.078165
300045,2013/12/31,0.014139
300004,2013/12/31,0.040143
300077,2013/12/31,0.001633
300182,2013/12/31,0.130505
300123,2013/12/31,0.044619
300288,2013/12/31,0.103913
300333,2013/12/31,0.081381
300081,2013/12/31,-0.055382
300365,2013/12/31,0.233198
300226,2013/12/31,0.032521
300357,2013/12/31,0.310068
300093,2013/12/31,0.008857
300239,2013/12/31,0.084869
300053,2013/12/31,0.043001
300323,2013/12/31,-0.003985
300079,2013/12/31,0.052029
300131,2013/12/31,-0.008804
300065,2013/12/31,0.021359
300168,2013/12/31,0.076178
300040,2013/12/31,0.005946
300350,2013/12/31,0.050594
300096,2013/12/31,0.048896
300300,2013/12/31,0.065394
300337,2013/12/31,0.035603
300380,2013/12/31,0.192479
300069,2013/12/31,0.031352
300201,2013/12/31,0.005752
300075,2013/12/31,0.078315
300305,2013/12/31,0.047188
300307,2013/12/31,0.059559
300317,2013/12/31,0.018732
300100,2013/12/31,0.061471
300382,2013/12/31,0.184688
300102,2013/12/31,0.054788
300082,2013/12/31,0.021998
300173,2013/12/31,-0.029086
300366,2013/12/31,0.14348
300098,2013/12/31,0.052499
300376,2013/12/31,0.116065
300318,2013/12/31,0.072671
300198,2013/12/31,0.074392
300232,2013/12/31,0.040585
300236,2013/12/31,0.063774
300133,2013/12/31,0.141431
300316,2013/12/31,0.023434
300180,2013/12/31,0.065955
300106,2013/12/31,0.025016
300330,2013/12/31,0.038361
300328,2013/12/31,0.067795
300273,2013/12/31,0.127816
300302,2013/12/31,0.036242
300080,2013/12/31,0.020713
300258,2013/12/31,0.096517
300185,2013/12/31,0.00937
300283,2013/12/31,0.005563
300063,2013/12/31,0.018363
300362,2013/12/31,0.025498
300155,2013/12/31,0.07868
300252,2013/12/31,0.011534
300346,2013/12/31,0.051596
300326,2013/12/31,0.118475
300220,2013/12/31,0.016942
300243,2013/12/31,0.040653
300170,2013/12/31,0.105473
300013,2013/12/31,0.013046
300055,2013/12/31,0.061602
300299,2013/12/31,0.03077
300287,2013/12/31,0.078289
300038,2013/12/31,0.043285
300089,2013/12/31,0.003429
300192,2013/12/31,0.052283
300109,2013/12/31,0.048458
300111,2013/12/31,0.002985
300297,2013/12/31,0.031478
300219,2013/12/31,0.063219
300344,2013/12/31,0.026822
300270,2013/12/31,0.029661
300171,2013/12/31,0.079976
300137,2013/12/31,0.057132
300183,2013/12/31,0.13854
300351,2013/12/31,0.06645
300266,2013/12/31,0.029935
300308,2013/12/31,0.022169
300187,2013/12/31,0.041591
300161,2013/12/31,0.012892
300057,2013/12/31,0.048434
300175,2013/12/31,0.017653
300020,2013/12/31,0.059859
300028,2013/12/31,-0.093141
300061,2013/12/31,0.05064
300276,2013/12/31,0.033529
300166,2013/12/31,0.093949
300128,2013/12/31,0.058521
300178,2013/12/31,0.069842
300217,2013/12/31,0.061674
300332,2013/12/31,0.070324
300189,2013/12/31,0.021445
300377,2013/12/31,0.18702
300312,2013/12/31,-0.046302
300094,2013/12/31,0.024295
300208,2013/12/31,0.032822
300157,2013/12/31,0.061293
300260,2013/12/31,0.014028
300268,2013/12/31,-0.269871
300315,2013/12/31,0.108138
300122,2013/12/31,0.051203
300279,2013/12/31,0.033134
300025,2013/12/31,0.059829
300049,2013/12/31,0.001766
300139,2013/12/31,0.056826
300369,2013/12/31,0.174581
300293,2013/12/31,0.073442
300378,2013/12/31,0.100749
300022,2013/12/31,-0.062673
300156,2013/12/31,-0.061443
300167,2013/12/31,0.003063
300355,2013/12/31,0.067156
300269,2013/12/31,0.015433
300277,2013/12/31,0.006406
300358,2014/12/31,0.124917
300208,2014/12/31,0.089273
300278,2014/12/31,0.034812
300056,2014/12/31,0.077057
300011,2014/12/31,0.113367
300196,2014/12/31,0.100253
300131,2014/12/31,0.023109
300286,2014/12/31,0.126428
300390,2014/12/31,0.120108
300317,2014/12/31,0.004904
300294,2014/12/31,0.113934
300198,2014/12/31,0.034557
300239,2014/12/31,0.009309
300357,2014/12/31,0.250354
300193,2014/12/31,0.023145
300242,2014/12/31,0.013049
300238,2014/12/31,0.084062
300248,2014/12/31,0.061905
300241,2014/12/31,0.022013
300335,2014/12/31,0.058499
300353,2014/12/31,0.050508
300030,2014/12/31,0.059656
300204,2014/12/31,0.115502
300256,2014/12/31,0.005451
300125,2014/12/31,0.007903
