Stkcd,Reptdt,Dual
300335,2013/12/31,2
300372,2013/12/31,2
300197,2013/12/31,1
300207,2013/12/31,1
300005,2013/12/31,2
300280,2013/12/31,2
300311,2013/12/31,1
300290,2013/12/31,1
300265,2013/12/31,2
300135,2013/12/31,2
300160,2013/12/31,1
300242,2013/12/31,1
300240,2013/12/31,2
300164,2013/12/31,1
300205,2013/12/31,2
300262,2013/12/31,1
300142,2013/12/31,1
300149,2013/12/31,2
300271,2013/12/31,1
300191,2013/12/31,1
300353,2013/12/31,1
300004,2013/12/31,1
300045,2013/12/31,2
300077,2013/12/31,2
300182,2013/12/31,2
300288,2013/12/31,2
300333,2013/12/31,1
300123,2013/12/31,1
300081,2013/12/31,1
300226,2013/12/31,1
300365,2013/12/31,2
300357,2013/12/31,1
300093,2013/12/31,1
300239,2013/12/31,2
300131,2013/12/31,1
300053,2013/12/31,1
300323,2013/12/31,2
300079,2013/12/31,1
300065,2013/12/31,2
300040,2013/12/31,2
300350,2013/12/31,1
300168,2013/12/31,1
300300,2013/12/31,2
300096,2013/12/31,2
300380,2013/12/31,2
300337,2013/12/31,1
300069,2013/12/31,2
300075,2013/12/31,2
300201,2013/12/31,1
300305,2013/12/31,2
300307,2013/12/31,2
300317,2013/12/31,2
300100,2013/12/31,1
300382,2013/12/31,1
300102,2013/12/31,2
300173,2013/12/31,2
300082,2013/12/31,1
300366,2013/12/31,2
300098,2013/12/31,2
300376,2013/12/31,1
300318,2013/12/31,2
300198,2013/12/31,2
300232,2013/12/31,1
300236,2013/12/31,2
300133,2013/12/31,2
300106,2013/12/31,2
300330,2013/12/31,2
300316,2013/12/31,2
300180,2013/12/31,2
300328,2013/12/31,2
300080,2013/12/31,2
300273,2013/12/31,1
300302,2013/12/31,1
300258,2013/12/31,1
300063,2013/12/31,2
300362,2013/12/31,2
300283,2013/12/31,1
300185,2013/12/31,
300155,2013/12/31,2
300252,2013/12/31,2
300346,2013/12/31,2
300220,2013/12/31,1
300326,2013/12/31,2
300243,2013/12/31,2
300013,2013/12/31,1
300170,2013/12/31,2
300299,2013/12/31,1
300055,2013/12/31,2
300287,2013/12/31,2
300089,2013/12/31,1
300192,2013/12/31,1
300038,2013/12/31,1
300109,2013/12/31,2
300111,2013/12/31,2
300297,2013/12/31,2
300344,2013/12/31,1
300270,2013/12/31,1
300219,2013/12/31,2
300137,2013/12/31,1
300171,2013/12/31,2
300351,2013/12/31,2
300183,2013/12/31,1
300266,2013/12/31,2
300308,2013/12/31,1
300187,2013/12/31,1
300057,2013/12/31,1
300161,2013/12/31,2
300175,2013/12/31,2
300020,2013/12/31,2
300028,2013/12/31,2
300276,2013/12/31,2
300061,2013/12/31,1
300166,2013/12/31,1
300178,2013/12/31,2
300217,2013/12/31,2
300332,2013/12/31,2
300128,2013/12/31,1
300377,2013/12/31,1
300189,2013/12/31,2
300312,2013/12/31,1
300094,2013/12/31,2
300157,2013/12/31,2
300260,2013/12/31,1
300268,2013/12/31,2
300315,2013/12/31,1
300122,2013/12/31,1
300279,2013/12/31,2
300139,2013/12/31,2
300049,2013/12/31,2
300025,2013/12/31,2
300208,2013/12/31,2
300369,2013/12/31,1
300293,2013/12/31,1
300378,2013/12/31,2
300022,2013/12/31,1
300156,2013/12/31,2
300167,2013/12/31,1
300355,2013/12/31,1
300269,2013/12/31,1
300277,2013/12/31,2
300358,2014/12/31,1
300208,2014/12/31,2
300278,2014/12/31,2
300056,2014/12/31,1
300011,2014/12/31,2
300196,2014/12/31,2
300286,2014/12/31,1
300131,2014/12/31,1
300390,2014/12/31,1
300317,2014/12/31,2
300294,2014/12/31,2
300198,2014/12/31,2
300239,2014/12/31,2
300357,2014/12/31,1
300242,2014/12/31,1
300193,2014/12/31,2
300238,2014/12/31,2
300248,2014/12/31,1
300241,2014/12/31,1
300335,2014/12/31,2
300353,2014/12/31,1
300030,2014/12/31,1
300256,2014/12/31,2
300204,2014/12/31,2
300125,2014/12/31,1
300179,2014/12/31,1
300363,2014/12/31,2
300299,2014/12/31,1
300144,2014/12/31,2
300201,2014/12/31,2
300146,2014/12/31,2
300253,2014/12/31,2
300226,2014/12/31,1
300267,2014/12/31,1
300009,2014/12/31,1
300351,2014/12/31,2
300328,2014/12/31,2
300134,2014/12/31,2
300140,2014/12/31,2
300054,2014/12/31,2
300055,2014/12/31,2
300139,2014/12/31,
300141,2014/12/31,1
300156,2014/12/31,2
300227,2014/12/31,1
300289,2014/12/31,1
300127,2014/12/31,2
300322,2014/12/31,2
300365,2014/12/31,2
300295,2014/12/31,2
300379,2014/12/31,2
300345,2014/12/31,1
300221,2014/12/31,2
300121,2014/12/31,2
300316,2014/12/31,2
300237,2014/12/31,2
300199,2014/12/31,2
300406,2014/12/31,2
300165,2014/12/31,2
300184,2014/12/31,1
300305,2014/12/31,2
300072,2014/12/31,2
300303,2014/12/31,1
300017,2014/12/31,1
300190,2014/12/31,1
300111,2014/12/31,2
300380,2014/12/31,2
300209,2014/12/31,2
300067,2014/12/31,1
300247,2014/12/31,1
300341,2014/12/31,2
300216,2014/12/31,1
300172,2014/12/31,2
300281,2014/12/31,2
300244,2014/12/31,1
300395,2014/12/31,2
300343,2014/12/31,1
300324,2014/12/31,1
300298,2014/12/31,1
300074,2014/12/31,2
300323,2014/12/31,2
300195,2014/12/31,2
300225,2014/12/31,1
300133,2014/12/31,2
300003,2014/12/31,1
300398,2014/12/31,1
300046,2014/12/31,1
300105,2014/12/31,2
300078,2014/12/31,1
300164,2014/12/31,2
300058,2014/12/31,1
300025,2014/12/31,2
300288,2014/12/31,2
300124,2014/12/31,1
300006,2014/12/31,1
300031,2014/12/31,1
300043,2014/12/31,1
300178,2014/12/31,2
300095,2014/12/31,2
300019,2014/12/31,2
300396,2014/12/31,2
300419,2014/12/31,1
300142,2014/12/31,1
300349,2014/12/31,1
300073,2014/12/31,2
300231,2014/12/31,1
300101,2014/12/31,2
300255,2014/12/31,2
300284,2014/12/31,2
300037,2014/12/31,2
300166,2014/12/31,1
300254,2014/12/31,2
300421,2014/12/31,1
300275,2014/12/31,1
300068,2014/12/31,2
300249,2014/12/31,2
300370,2014/12/31,1
300272,2014/12/31,2
300154,2014/12/31,1
300138,2014/12/31,1
300283,2014/12/31,1
300403,2014/12/31,1
300212,2014/12/31,2
300412,2014/12/31,2
300039,2014/12/31,2
300304,2014/12/31,1
300271,2014/12/31,1
300384,2014/12/31,1
300339,2014/12/31,1
300296,2014/12/31,1
300332,2014/12/31,2
300310,2014/12/31,2
300048,2014/12/31,2
300293,2014/12/31,1
300210,2014/12/31,2
300222,2014/12/31,1
300066,2014/12/31,2
300113,2014/12/31,2
300207,2014/12/31,1
300081,2014/12/31,1
300032,2014/12/31,1
300071,2014/12/31,1
300180,2014/12/31,2
300218,2014/12/31,1
300264,2014/12/31,2
300090,2014/12/31,2
300027,2014/12/31,2
300181,2014/12/31,2
300334,2014/12/31,2
300047,2014/12/31,1
300200,2014/12/31,2
300188,2014/12/31,2
300393,2014/12/31,1
300392,2014/12/31,1
300114,2014/12/31,2
300163,2014/12/31,1
300338,2014/12/31,2
