Stkcd,Reptdt,num_of_dir
300235,2013/12/31,7
300335,2013/12/31,9
300372,2013/12/31,9
300197,2013/12/31,7
300207,2013/12/31,7
300005,2013/12/31,8
300280,2013/12/31,9
300311,2013/12/31,7
300290,2013/12/31,9
300265,2013/12/31,6
300135,2013/12/31,9
300160,2013/12/31,9
300242,2013/12/31,9
300240,2013/12/31,9
300164,2013/12/31,6
300205,2013/12/31,9
300262,2013/12/31,7
300142,2013/12/31,8
300149,2013/12/31,7
300271,2013/12/31,7
300191,2013/12/31,9
300353,2013/12/31,7
300004,2013/12/31,9
300045,2013/12/31,8
300077,2013/12/31,9
300182,2013/12/31,9
300288,2013/12/31,7
300333,2013/12/31,7
300123,2013/12/31,8
300081,2013/12/31,9
300226,2013/12/31,9
300365,2013/12/31,8
300357,2013/12/31,9
300093,2013/12/31,8
300239,2013/12/31,7
300131,2013/12/31,7
300053,2013/12/31,9
300323,2013/12/31,9
300079,2013/12/31,8
300065,2013/12/31,6
300040,2013/12/31,9
300350,2013/12/31,7
300168,2013/12/31,7
300300,2013/12/31,8
300096,2013/12/31,7
300380,2013/12/31,9
300337,2013/12/31,7
300069,2013/12/31,5
300075,2013/12/31,9
300201,2013/12/31,9
300305,2013/12/31,9
300307,2013/12/31,9
300317,2013/12/31,9
300100,2013/12/31,9
300382,2013/12/31,7
300102,2013/12/31,9
300173,2013/12/31,9
300082,2013/12/31,9
300366,2013/12/31,9
300098,2013/12/31,7
300376,2013/12/31,9
300318,2013/12/31,9
300198,2013/12/31,9
300232,2013/12/31,7
300236,2013/12/31,9
300133,2013/12/31,7
300106,2013/12/31,8
300330,2013/12/31,9
300316,2013/12/31,9
300180,2013/12/31,8
300328,2013/12/31,9
300080,2013/12/31,11
300273,2013/12/31,9
300302,2013/12/31,7
300258,2013/12/31,8
300063,2013/12/31,9
300362,2013/12/31,11
300283,2013/12/31,9
300185,2013/12/31,8
300155,2013/12/31,7
300252,2013/12/31,7
300346,2013/12/31,9
300220,2013/12/31,5
300326,2013/12/31,7
300243,2013/12/31,9
300013,2013/12/31,7
300170,2013/12/31,5
300299,2013/12/31,9
300055,2013/12/31,9
300287,2013/12/31,8
300089,2013/12/31,9
300192,2013/12/31,7
300038,2013/12/31,12
300109,2013/12/31,6
300111,2013/12/31,7
300297,2013/12/31,9
300344,2013/12/31,9
300270,2013/12/31,7
300219,2013/12/31,9
300137,2013/12/31,9
300171,2013/12/31,9
300351,2013/12/31,7
300183,2013/12/31,8
300266,2013/12/31,9
300308,2013/12/31,6
300187,2013/12/31,8
300057,2013/12/31,8
300161,2013/12/31,9
300175,2013/12/31,9
300020,2013/12/31,9
300028,2013/12/31,7
300276,2013/12/31,9
300061,2013/12/31,9
300166,2013/12/31,6
300178,2013/12/31,9
300217,2013/12/31,7
300332,2013/12/31,9
300128,2013/12/31,9
300377,2013/12/31,9
300189,2013/12/31,9
300312,2013/12/31,7
300094,2013/12/31,8
300157,2013/12/31,9
300260,2013/12/31,7
300268,2013/12/31,5
300315,2013/12/31,9
300122,2013/12/31,9
300279,2013/12/31,7
300139,2013/12/31,8
300049,2013/12/31,13
300025,2013/12/31,7
300208,2013/12/31,7
300369,2013/12/31,7
300293,2013/12/31,7
300378,2013/12/31,9
300022,2013/12/31,9
300156,2013/12/31,6
300167,2013/12/31,9
300355,2013/12/31,9
300269,2013/12/31,9
300277,2013/12/31,8
300358,2014/12/31,9
300208,2014/12/31,7
300278,2014/12/31,9
300056,2014/12/31,9
300011,2014/12/31,10
300196,2014/12/31,9
300286,2014/12/31,7
300131,2014/12/31,7
300390,2014/12/31,5
300317,2014/12/31,6
300294,2014/12/31,7
300198,2014/12/31,9
300239,2014/12/31,7
300357,2014/12/31,9
300242,2014/12/31,9
300193,2014/12/31,7
300238,2014/12/31,7
300248,2014/12/31,9
300241,2014/12/31,9
300335,2014/12/31,9
300353,2014/12/31,6
300030,2014/12/31,9
300256,2014/12/31,9
300204,2014/12/31,9
300125,2014/12/31,9
300179,2014/12/31,9
300363,2014/12/31,9
300299,2014/12/31,9
300144,2014/12/31,9
300201,2014/12/31,8
300146,2014/12/31,7
300253,2014/12/31,7
300226,2014/12/31,9
300267,2014/12/31,9
300009,2014/12/31,12
300351,2014/12/31,7
300328,2014/12/31,9
300134,2014/12/31,5
300140,2014/12/31,8
300054,2014/12/31,9
300055,2014/12/31,9
300139,2014/12/31,6
300141,2014/12/31,7
300156,2014/12/31,9
300227,2014/12/31,7
300289,2014/12/31,9
300127,2014/12/31,9
300322,2014/12/31,9
300365,2014/12/31,8
300295,2014/12/31,5
300379,2014/12/31,9
300345,2014/12/31,7
300221,2014/12/31,7
300121,2014/12/31,7
300316,2014/12/31,9
300237,2014/12/31,9
300199,2014/12/31,7
300406,2014/12/31,9
300165,2014/12/31,9
300184,2014/12/31,8
300305,2014/12/31,9
300072,2014/12/31,11
300303,2014/12/31,7
300017,2014/12/31,7
300190,2014/12/31,9
300111,2014/12/31,7
300380,2014/12/31,9
300209,2014/12/31,7
300067,2014/12/31,7
300247,2014/12/31,9
300341,2014/12/31,5
300216,2014/12/31,9
300172,2014/12/31,8
300281,2014/12/31,7
300244,2014/12/31,9
300395,2014/12/31,9
300343,2014/12/31,8
300324,2014/12/31,7
300298,2014/12/31,7
300074,2014/12/31,9
300323,2014/12/31,9
300195,2014/12/31,7
300225,2014/12/31,9
300133,2014/12/31,7
300003,2014/12/31,8
300398,2014/12/31,9
300046,2014/12/31,9
300105,2014/12/31,12
300078,2014/12/31,6
300164,2014/12/31,7
300058,2014/12/31,9
300025,2014/12/31,7
300288,2014/12/31,7
300124,2014/12/31,9
300006,2014/12/31,7
300031,2014/12/31,9
300043,2014/12/31,7
300178,2014/12/31,9
300095,2014/12/31,9
300019,2014/12/31,9
300396,2014/12/31,7
300419,2014/12/31,7
300142,2014/12/31,8
300349,2014/12/31,9
300073,2014/12/31,9
300231,2014/12/31,5
300101,2014/12/31,9
300255,2014/12/31,9
300284,2014/12/31,7
300037,2014/12/31,9
300166,2014/12/31,6
300254,2014/12/31,8
300421,2014/12/31,9
300275,2014/12/31,6
300068,2014/12/31,9
300249,2014/12/31,5
300370,2014/12/31,8
300272,2014/12/31,5
300154,2014/12/31,9
300138,2014/12/31,8
300283,2014/12/31,9
300403,2014/12/31,9
