Stkcd,Reptdt,Salary
300314,2013/12/31,1074700
300129,2013/12/31,1587000
300024,2013/12/31,1065000
300359,2013/12/31,1345000
300340,2013/12/31,820700
300150,2013/12/31,1500000
300246,2013/12/31,1292800
300211,2013/12/31,1160200
300176,2013/12/31,1110400
300245,2013/12/31,2127000
300058,2013/12/31,5080000
300206,2013/12/31,3269400
300076,2013/12/31,2236300
300214,2013/12/31,531000
300151,2013/12/31,1593600
300136,2013/12/31,1694800
300345,2013/12/31,826700
300313,2013/12/31,644500
300325,2013/12/31,700000
300352,2013/12/31,993500
300073,2013/12/31,453600
300086,2013/12/31,940500
300285,2013/12/31,778100
300083,2013/12/31,2546900
300195,2013/12/31,777336.96
300031,2013/12/31,594841
300130,2013/12/31,1270000
300235,2013/12/31,1089300
300335,2013/12/31,1245100
300372,2013/12/31,363800
300197,2013/12/31,1699900
300207,2013/12/31,1584100
300005,2013/12/31,10588200
300280,2013/12/31,1344400
300311,2013/12/31,778700
300290,2013/12/31,1810000
300265,2013/12/31,534000
300135,2013/12/31,652100
300160,2013/12/31,1430200
300242,2013/12/31,1120100
300240,2013/12/31,2543200
300164,2013/12/31,1591000
300205,2013/12/31,2311200
300262,2013/12/31,485500
300142,2013/12/31,1391000
300149,2013/12/31,347800
300271,2013/12/31,779700
300191,2013/12/31,2035900
300353,2013/12/31,967900
300004,2013/12/31,820000
300045,2013/12/31,1195239.09
300077,2013/12/31,1387600
300182,2013/12/31,1072242
300288,2013/12/31,1742300
300333,2013/12/31,2030200
300123,2013/12/31,1143000
300081,2013/12/31,850000
300226,2013/12/31,1496700
300365,2013/12/31,669000
300357,2013/12/31,1194700
300093,2013/12/31,1172700
300239,2013/12/31,1328700
300131,2013/12/31,890900
300053,2013/12/31,651200
300323,2013/12/31,1564247.8
300079,2013/12/31,2131900
300065,2013/12/31,687300
300040,2013/12/31,857000
300350,2013/12/31,828000
300168,2013/12/31,2810000
300300,2013/12/31,863300
300096,2013/12/31,1162300
300380,2013/12/31,913600
300337,2013/12/31,790000
300069,2013/12/31,400000
300075,2013/12/31,1480000
300201,2013/12/31,1290300
300305,2013/12/31,1790000
300307,2013/12/31,1241400
300317,2013/12/31,1369900
300100,2013/12/31,420000
300382,2013/12/31,598100
300102,2013/12/31,1898500
300173,2013/12/31,1902400
300082,2013/12/31,1956600
300366,2013/12/31,824100
300098,2013/12/31,750800
300376,2013/12/31,1316585
300318,2013/12/31,1139800
300198,2013/12/31,899000
300232,2013/12/31,1062000
300236,2013/12/31,1378300
300133,2013/12/31,1742500
300106,2013/12/31,460000
300330,2013/12/31,946000
300316,2013/12/31,3250000
300180,2013/12/31,2294400
300328,2013/12/31,2272400
300080,2013/12/31,970800
300273,2013/12/31,1201600
300302,2013/12/31,527000
300258,2013/12/31,1110100
300063,2013/12/31,952800
300362,2013/12/31,660000
300283,2013/12/31,972000
300185,2013/12/31,1948300
300155,2013/12/31,1302900
300252,2013/12/31,1322000
300346,2013/12/31,1961600
300220,2013/12/31,325700
300326,2013/12/31,4837569
300243,2013/12/31,1383300
300013,2013/12/31,1378400
300170,2013/12/31,1344000
300299,2013/12/31,950100
300055,2013/12/31,976100
300287,2013/12/31,706000
300089,2013/12/31,674000
300192,2013/12/31,2219400
300038,2013/12/31,1391100
300109,2013/12/31,343100
300111,2013/12/31,820200
300297,2013/12/31,1022600
300344,2013/12/31,1013100
300270,2013/12/31,1274200
300219,2013/12/31,1789200
300137,2013/12/31,462000
300171,2013/12/31,1331500
300351,2013/12/31,1050000
300183,2013/12/31,1842000
300266,2013/12/31,920000
300308,2013/12/31,561000
300187,2013/12/31,1156000
300057,2013/12/31,1216646.26
300161,2013/12/31,2298500
300175,2013/12/31,422600
300020,2013/12/31,1602400
300028,2013/12/31,580000
300276,2013/12/31,668000
300061,2013/12/31,969000
300166,2013/12/31,1790700
300178,2013/12/31,1017700
300217,2013/12/31,1341000
300332,2013/12/31,1111000
300128,2013/12/31,1464600
300377,2013/12/31,1146900
300189,2013/12/31,1176500
300312,2013/12/31,805200
300094,2013/12/31,2183500
300157,2013/12/31,1911943
300260,2013/12/31,470200
300268,2013/12/31,223100
300315,2013/12/31,1765700
300122,2013/12/31,1080000
300279,2013/12/31,1075700
300139,2013/12/31,1875000
300049,2013/12/31,1576600
300025,2013/12/31,723600
300208,2013/12/31,639260
300369,2013/12/31,792000
300293,2013/12/31,698600
300378,2013/12/31,3240000
300022,2013/12/31,1557000
300156,2013/12/31,1713400
300167,2013/12/31,1001000
300355,2013/12/31,1648900
300269,2013/12/31,1884000
300277,2013/12/31,1406900
300358,2014/12/31,1555000
300208,2014/12/31,1077280
300278,2014/12/31,753600
300056,2014/12/31,1844100
300011,2014/12/31,1158900
300196,2014/12/31,1659500
300286,2014/12/31,1126600
300131,2014/12/31,924000
300390,2014/12/31,700000
300317,2014/12/31,1385900
300294,2014/12/31,1080000
300198,2014/12/31,875000
300239,2014/12/31,1377800
300357,2014/12/31,1528600
300242,2014/12/31,1097200
300193,2014/12/31,2131300
300238,2014/12/31,1924700
300248,2014/12/31,743200
300241,2014/12/31,1476700
300335,2014/12/31,1592400
300353,2014/12/31,1108000
300030,2014/12/31,1085300
300256,2014/12/31,1681300
300204,2014/12/31,720000
300125,2014/12/31,1442900
300179,2014/12/31,1114800
300363,2014/12/31,4667500
300299,2014/12/31,1032500
300144,2014/12/31,1308000
300201,2014/12/31,1127200
300146,2014/12/31,1935000
300253,2014/12/31,1040400
300226,2014/12/31,1374800
300267,2014/12/31,1177500
300009,2014/12/31,1080000
300351,2014/12/31,1140000
300328,2014/12/31,2537100
300134,2014/12/31,4049400
300140,2014/12/31,434400
300054,2014/12/31,490000
300055,2014/12/31,1957200
300139,2014/12/31,1530000
300141,2014/12/31,513300
300156,2014/12/31,2565800
300227,2014/12/31,1295100
300289,2014/12/31,5494000
300127,2014/12/31,1619400
300322,2014/12/31,780000
300365,2014/12/31,668900
300295,2014/12/31,3327000
300379,2014/12/31,1130000
300345,2014/12/31,985800
300221,2014/12/31,1295100
300121,2014/12/31,439900
300316,2014/12/31,3245300
300237,2014/12/31,554900
300199,2014/12/31,3342100
300406,2014/12/31,3120000
300165,2014/12/31,1631900
300184,2014/12/31,1612700
300305,2014/12/31,1870000
300072,2014/12/31,3570100
300303,2014/12/31,1733800
300017,2014/12/31,2863500
300190,2014/12/31,1759300
300111,2014/12/31,821200
300380,2014/12/31,913200
300209,2014/12/31,1544400
300067,2014/12/31,1107000
300247,2014/12/31,758000
300341,2014/12/31,1028100
300216,2014/12/31,904800
300172,2014/12/31,823500
300281,2014/12/31,859300
300244,2014/12/31,1810000
300395,2014/12/31,1890000
300343,2014/12/31,603200
300324,2014/12/31,763600
300298,2014/12/31,928100
300074,2014/12/31,1290000
300323,2014/12/31,1550400
300195,2014/12/31,2241989.6
300225,2014/12/31,1549600
300133,2014/12/31,2309800
300003,2014/12/31,540000
300398,2014/12/31,1730300
300046,2014/12/31,764600
300105,2014/12/31,1746000
300078,2014/12/31,605900
300164,2014/12/31,1217000
300058,2014/12/31,5880000
300025,2014/12/31,877500
300288,2014/12/31,1698500
300124,2014/12/31,3353500
300006,2014/12/31,749200
300031,2014/12/31,568700
300043,2014/12/31,700000
300178,2014/12/31,1624000
300095,2014/12/31,615400
300019,2014/12/31,1646000
300396,2014/12/31,1941700
300419,2014/12/31,651200
300142,2014/12/31,1435600
300349,2014/12/31,1035000
300073,2014/12/31,433100
300231,2014/12/31,863200
300101,2014/12/31,1967000
300255,2014/12/31,1737400
300284,2014/12/31,2965900
300037,2014/12/31,2166500
300166,2014/12/31,1866700
300254,2014/12/31,2236800
300421,2014/12/31,460000
300275,2014/12/31,1538500
300068,2014/12/31,678000
300249,2014/12/31,720000
300370,2014/12/31,1676400
300272,2014/12/31,480600
300154,2014/12/31,1447200
300138,2014/12/31,530500
300283,2014/12/31,1235400
300403,2014/12/31,791800
300212,2014/12/31,1404000
300412,2014/12/31,564600
300039,2014/12/31,1390000
300304,2014/12/31,849800
300271,2014/12/31,781200
300384,2014/12/31,1085000
300339,2014/12/31,1961000
300296,2014/12/31,815700
300332,2014/12/31,1296000
300310,2014/12/31,1298000
300048,2014/12/31,1080000
300293,2014/12/31,698600
300210,2014/12/31,468000
300222,2014/12/31,2195600
300066,2014/12/31,912700
300113,2014/12/31,1285100
300207,2014/12/31,2200700
300081,2014/12/31,749500
300032,2014/12/31,840000
300071,2014/12/31,1121900
300180,2014/12/31,2953900
300218,2014/12/31,3209200
300264,2014/12/31,935000
300090,2014/12/31,1660000
300027,2014/12/31,3299140
300181,2014/12/31,1270500
300334,2014/12/31,497900
300047,2014/12/31,2425600
300200,2014/12/31,1027000
300188,2014/12/31,780000
300393,2014/12/31,1084500
300392,2014/12/31,1593800
300114,2014/12/31,1286100
300163,2014/12/31,713300
300338,2014/12/31,1350300
300038,2014/12/31,1500200
300250,2014/12/31,791700
300259,2014/12/31,868500
