Stkcd,Reptdt,Shrcr
300071,2013/12/31,0.338
300071,2014/12/31,0.338
300012,2013/12/31,0.2053
300012,2014/12/31,0.1651
300013,2013/12/31,0.303
300013,2014/12/31,0.2273
300014,2013/12/31,0.4525
300014,2014/12/31,0.4524
300015,2013/12/31,0.4445
300015,2014/12/31,0.4401
300090,2013/12/31,0.2726
300090,2014/12/31,0.2046
300091,2013/12/31,0.2211
300091,2014/12/31,0.1804
300092,2013/12/31,0.2159
300092,2014/12/31,0.2159
300174,2013/12/31,0.5031
300174,2014/12/31,0.4443
300175,2013/12/31,0.3984
300175,2014/12/31,0.2989
300140,2013/12/31,0.2985
300140,2014/12/31,0.2985
300053,2013/12/31,0.2793
300053,2014/12/31,0.2294
300125,2013/12/31,0.302
300125,2014/12/31,0.2342
300126,2013/12/31,0.3563
300126,2014/12/31,0.2636
300141,2013/12/31,0.476
300141,2014/12/31,0.4721
300127,2013/12/31,0.3358
300127,2014/12/31,0.3358
300072,2013/12/31,0.2846
300072,2014/12/31,0.2836
300073,2013/12/31,0.3095
300073,2014/12/31,0.3095
300017,2013/12/31,0.2369
300017,2014/12/31,0.215
300018,2013/12/31,0.09
300018,2014/12/31,0.09
300117,2013/12/31,0.3966
300117,2014/12/31,0.3966
300118,2013/12/31,0.429
300118,2014/12/31,0.3382
300119,2013/12/31,0.4306
300119,2014/12/31,0.4278
300058,2013/12/31,0.0759
300058,2014/12/31,0.0731
300134,2013/12/31,0.5101
300134,2014/12/31,0.5101
300135,2013/12/31,0.3776
300135,2014/12/31,0.3008
300061,2013/12/31,0.56
300061,2014/12/31,0.56
300001,2013/12/31,0.4978
300001,2014/12/31,0.4978
300002,2013/12/31,0.1375
300002,2014/12/31,0.1273
300136,2013/12/31,0.2617
300136,2014/12/31,0.2634
300137,2013/12/31,0.1614
300137,2014/12/31,0.1553
300074,2013/12/31,0.1485
300074,2014/12/31,0.1446
300075,2013/12/31,0.3282
300075,2014/12/31,0.3262
300003,2013/12/31,0.2892
300003,2014/12/31,0.219
300004,2013/12/31,0.2184
300004,2014/12/31,0.1316
300005,2013/12/31,0.2894
300005,2014/12/31,0.2877
300022,2013/12/31,0.1397
300022,2014/12/31,0.1397
300076,2013/12/31,0.3002
300076,2014/12/31,0.3002
300093,2013/12/31,0.2691
300093,2014/12/31,0.2691
300094,2013/12/31,0.4526
300094,2014/12/31,0.4012
300102,2013/12/31,0.1697
300102,2014/12/31,0.1697
300103,2013/12/31,0.3513
300103,2014/12/31,0.2995
300104,2013/12/31,0.4657
300104,2014/12/31,0.4421
300105,2013/12/31,0.2325
300105,2014/12/31,0.2325
300031,2013/12/31,0.3267
300031,2014/12/31,0.3007
300032,2013/12/31,0.534
